Shannon,x,y,difference,SpeciesID
1.384720252,Penicillium-commune,Penicillium-cvjetkovicii,-0.000632105,Penicillium-commune
1.385025743,Penicillium-commune,Penicillium-cvjetkovicii,-0.000991182,Penicillium-commune
1.384273993,Penicillium-commune,Penicillium-brevicompactum,-0.001399653,Penicillium-commune
1.384720252,Penicillium-commune,Penicillium-brevicompactum,-0.001068351,Penicillium-commune
1.385025743,Penicillium-commune,Penicillium-brevicompactum,-0.001192901,Penicillium-commune
1.384715573,Penicillium-cvjetkovicii,Penicillium-verrucosum,0.747656563,Penicillium-cvjetkovicii
1.385352356,Penicillium-cvjetkovicii,Penicillium-verrucosum,0.665637911,Penicillium-cvjetkovicii
1.386016925,Penicillium-cvjetkovicii,Penicillium-verrucosum,0.652880767,Penicillium-cvjetkovicii
1.384715573,Penicillium-cvjetkovicii,Penicillium-polonicum,0.304512359,Penicillium-cvjetkovicii
1.385352356,Penicillium-cvjetkovicii,Penicillium-polonicum,0.292051518,Penicillium-cvjetkovicii
1.386016925,Penicillium-cvjetkovicii,Penicillium-polonicum,0.289401572,Penicillium-cvjetkovicii
1.384715573,Penicillium-cvjetkovicii,Penicillium-solitum,0.048401091,Penicillium-cvjetkovicii
1.385352356,Penicillium-cvjetkovicii,Penicillium-solitum,0.031360553,Penicillium-cvjetkovicii
1.386016925,Penicillium-cvjetkovicii,Penicillium-solitum,0.009394297,Penicillium-cvjetkovicii
1.384715573,Penicillium-cvjetkovicii,Penicillium-mb,0.303584944,Penicillium-cvjetkovicii
1.385352356,Penicillium-cvjetkovicii,Penicillium-mb,0.029689028,Penicillium-cvjetkovicii
1.386016925,Penicillium-cvjetkovicii,Penicillium-mb,0.008232258,Penicillium-cvjetkovicii
1.384715573,Penicillium-cvjetkovicii,Penicillium-commune,0.00044158,Penicillium-cvjetkovicii
1.385352356,Penicillium-cvjetkovicii,Penicillium-commune,0.000632105,Penicillium-cvjetkovicii
1.386016925,Penicillium-cvjetkovicii,Penicillium-commune,0.000991182,Penicillium-cvjetkovicii
1.384715573,Penicillium-cvjetkovicii,Penicillium-chrysogenum,0.433489082,Penicillium-cvjetkovicii
1.385352356,Penicillium-cvjetkovicii,Penicillium-chrysogenum,0.294368373,Penicillium-cvjetkovicii
1.386016925,Penicillium-cvjetkovicii,Penicillium-chrysogenum,0.21246961,Penicillium-cvjetkovicii
1.384715573,Penicillium-cvjetkovicii,Penicillium-brevicompactum,-0.000958074,Penicillium-cvjetkovicii
1.385352356,Penicillium-cvjetkovicii,Penicillium-brevicompactum,-0.000436247,Penicillium-cvjetkovicii
1.386016925,Penicillium-cvjetkovicii,Penicillium-brevicompactum,-0.000201719,Penicillium-cvjetkovicii
1.081130629,Penicillium-mb,Penicillium-verrucosum,0.444071619,Penicillium-mb
1.355663328,Penicillium-mb,Penicillium-verrucosum,0.635948883,Penicillium-mb
1.377784667,Penicillium-mb,Penicillium-verrucosum,0.64464851,Penicillium-mb
1.081130629,Penicillium-mb,Penicillium-polonicum,0.000927414,Penicillium-mb
1.355663328,Penicillium-mb,Penicillium-polonicum,0.26236249,Penicillium-mb
1.377784667,Penicillium-mb,Penicillium-polonicum,0.281169314,Penicillium-mb
1.081130629,Penicillium-mb,Penicillium-solitum,-0.255183853,Penicillium-mb
1.355663328,Penicillium-mb,Penicillium-solitum,0.001671525,Penicillium-mb
1.377784667,Penicillium-mb,Penicillium-solitum,0.00116204,Penicillium-mb
